"RAPM_image","block_trial","experiment_path","glb_trial","practice","response","response_time","subject_nr"
"APMS1_01.png","1","C:\Users\Public\Experiments\SM01\03-GF\RAPM","1","1","6","4391","42"
"APMS1_02.png","2","C:\Users\Public\Experiments\SM01\03-GF\RAPM","2","1","4","5558","42"
"APMS2_03.png","1","C:\Users\Public\Experiments\SM01\03-GF\RAPM","3","0","7","4783","42"
"APMS2_10.png","2","C:\Users\Public\Experiments\SM01\03-GF\RAPM","4","0","8","1263","42"
"APMS2_12.png","3","C:\Users\Public\Experiments\SM01\03-GF\RAPM","5","0","7","791","42"
"APMS2_15.png","4","C:\Users\Public\Experiments\SM01\03-GF\RAPM","6","0","2","3660","42"
"APMS2_16.png","5","C:\Users\Public\Experiments\SM01\03-GF\RAPM","7","0","4","574","42"
"APMS2_18.png","6","C:\Users\Public\Experiments\SM01\03-GF\RAPM","8","0","7","462","42"
"APMS2_21.png","7","C:\Users\Public\Experiments\SM01\03-GF\RAPM","9","0","8","499","42"
"APMS2_22.png","8","C:\Users\Public\Experiments\SM01\03-GF\RAPM","10","0","5","1062","42"
"APMS2_28.png","9","C:\Users\Public\Experiments\SM01\03-GF\RAPM","11","0","4","534","42"
"APMS2_30.png","10","C:\Users\Public\Experiments\SM01\03-GF\RAPM","12","0","4","462","42"
"APMS2_31.png","11","C:\Users\Public\Experiments\SM01\03-GF\RAPM","13","0","3","583","42"
"APMS2_34.png","12","C:\Users\Public\Experiments\SM01\03-GF\RAPM","14","0","5","534","42"
